Group of Letters		Frequency		%
ABVRAN		2		0.00
ABVRAX		1		0.00
ABVRAZ		1		0.00
ABVRB		2		0.00
ABVRBA		1		0.00
ABVRBM		1		0.00
ABVRC		1		0.00
ABVRCH		1		0.00
ABVRD		1		0.00
ABVRDR		1		0.00
ABVRM		1		0.00
ABVRMA		1		0.00
ABVRN		2		0.00
ABVRNA		2		0.00
ABVZ		1		0.00
ABVZA		1		0.00
ABVZAC		1		0.00
ABY		2		0.00
ABYB		1		0.00
ABYBL		1		0.00
ABYBLA		1		0.00
ABYM		1		0.00
ABYMA		1		0.00
ABYMAL		1		0.00
ABZ		16		0.00
ABZA		5		0.00
ABZAB		1		0.00
ABZABA		1		0.00
ABZAC		1		0.00
ABZACO		1		0.00
ABZAD		1		0.00
ABZADC		1		0.00
ABZAI		1		0.00
ABZAIE		1		0.00
ABZAQ		1		0.00
ABZAQV		1		0.00
ABZE		3		0.00
ABZED		1		0.00
ABZEDM		1		0.00
ABZEN		1		0.00
ABZENO		1		0.00
ABZI		5		0.00
ABZIA		1		0.00
ABZIAP		1		0.00
ABZID		1		0.00
ABZIDN		1		0.00
ABZIL		1		0.00
ABZILB		1		0.00
ABZIN		1		0.00
ABZINT		1		0.00
ABZIV		1		0.00
ABZIVA		1		0.00
ABZV		3		0.00
ABZVC		1		0.00
ABZVCH		1		0.00
ABZVD		1		0.00
ABZVDA		1		0.00
ABZVL		1		0.00
ABZVLA		1		0.00
AC		3741		0.35
ACA		139		0.01
ACAA		1		0.00
ACAAH		1		0.00
ACAB		2		0.00
ACABT		1		0.00
ACABTO		1		0.00
ACAC		2		0.00
ACACH		1		0.00
ACACHO		1		0.00
ACACL		1		0.00
ACACLO		1		0.00
ACAD		15		0.00
ACADA		4		0.00
ACADAA		1		0.00
ACADAB		2		0.00
ACADAT		1		0.00
ACADF		1		0.00
ACADFA		1		0.00
ACADM		1		0.00
ACADMA		1		0.00
ACADN		5		0.00
ACADNA		2		0.00
ACADNO		3		0.00
ACADP		1		0.00
ACADPH		1		0.00
ACADV		1		0.00
ACADVR		1		0.00
ACAG		1		0.00
ACAGE		1		0.00
ACAGEN		1		0.00
ACAH		8		0.00
ACAHO		2		0.00
ACAHOC		1		0.00
ACAHOS		1		0.00
ACAHZ		1		0.00
ACAHZV		1		0.00
ACAL		11		0.00
ACALC		1		0.00
ACALCE		1		0.00
ACALD		1		0.00
ACALDO		1		0.00
ACALG		1		0.00
ACALGL		1		0.00
ACALN		1		0.00
ACALNO		1		0.00
ACALS		2		0.00
ACALSE		1		0.00
ACALV		1		0.00
ACALVA		1		0.00
ACALZ		2		0.00
ACALZA		2		0.00
ACAM		4		0.00
ACAMI		2		0.00
ACAMIN		1		0.00
ACAMIZ		1		0.00
ACAMV		1		0.00
ACAMVA		1		0.00
ACAN		13		0.00
ACANA		2		0.00
ACANAC		1		0.00
ACANAL		1		0.00
ACANC		1		0.00
ACANCA		1		0.00
ACANL		2		0.00
ACANLE		2		0.00
ACANN		3		0.00
ACANNA		1		0.00
ACANNO		2		0.00
ACANS		2		0.00
ACANSA		1		0.00
ACANSV		1		0.00
ACANV		2		0.00
ACANVA		2		0.00
ACANZ		1		0.00
ACANZY		1		0.00
ACAP		23		0.00
ACAPA		4		0.00
ACAPAC		1		0.00
ACAPAH		1		0.00
ACAPAL		2		0.00
ACAPAR		1		0.00
ACAPH		6		0.00
ACAPHA		3		0.00
ACAPHC		1		0.00
ACAPI		1		0.00
ACAPIC		1		0.00
ACAPL		1		0.00
ACAPLO		1		0.00
ACAPN		7		0.00
ACAPNA		4		0.00
ACAPNAPADAPHA		1		0.00
ACAPNO		3		0.00
ACAPP		1		0.00
ACAPPO		1		0.00
ACAPZ		1		0.00
ACAPZI		1		0.00
ACAR		10		0.00
ACARD		1		0.00
ACARDA		1		0.00
ACARI		1		0.00
ACARIZ		1		0.00
ACARM		2		0.00
ACARMA		1		0.00
ACARMO		1		0.00
ACARP		2		0.00
ACARPA		1		0.00
ACARPY		1		0.00
ACARS		1		0.00
ACARSO		1		0.00
ACAS		7		0.00
ACASE		1		0.00
ACASED		1		0.00
ACAST		3		0.00
ACASTA		1		0.00
ACASTO		2		0.00
ACASV		1		0.00
ACASVL		1		0.00
ACAT		14		0.00
ACATA		1		0.00
ACATAR		1		0.00
ACATH		10		0.00
ACATHA		5		0.00
ACATHC		1		0.00
ACATHN		1		0.00
ACATHZ		2		0.00
ACATN		1		0.00
ACATNE		1		0.00
ACATO		2		0.00
ACATON		1		0.00
ACATOR		1		0.00
ACAV		2		0.00
ACAVO		1		0.00
ACAVOR		1		0.00
ACAX		16		0.00
ACAXA		2		0.00
ACAXAL		1		0.00
ACAXAR		1		0.00
ACAXI		1		0.00
ACAXIN		1		0.00
ACAXM		1		0.00
ACAXMI		1		0.00
ACAXN		1		0.00
ACAXNO		1		0.00
ACAXO		3		0.00
ACAXOL		1		0.00
ACAXOR		2		0.00
ACAXT		2		0.00
ACAXTA		1		0.00
ACAXTO		1		0.00
ACAXV		2		0.00
ACAXVI		2		0.00
ACC		5		0.00
ACCA		2		0.00
ACCAB		1		0.00
ACCABR		1		0.00
ACCAM		1		0.00
ACCAMP		1		0.00
ACCAMPLAHNOSTAPHA		1		0.00
ACCH		1		0.00
ACCHI		1		0.00
ACCHIR		1		0.00
ACCO		1		0.00
ACCOR		1		0.00
ACCORZ		1		0.00
ACCR		1		0.00
ACCRA		1		0.00
ACCRAM		1		0.00
ACE		5		0.00
ACEB		1		0.00
ACEBA		1		0.00
ACEBAT		1		0.00
ACED		1		0.00
ACEDN		1		0.00
ACEDNO		1		0.00
ACES		1		0.00
ACEST		1		0.00
ACESTR		1		0.00
ACF		1		0.00
ACFA		1		0.00
ACFAG		1		0.00
ACFAGR		1		0.00
ACH		2538		0.24
ACHA		1187		0.11
ACHAA		14		0.00
ACHAAC		1		0.00
ACHAAD		2		0.00
ACHAAL		7		0.00
ACHAAN		1		0.00
ACHAAX		2		0.00
ACHAB		10		0.00
ACHABA		3		0.00
ACHABL		2		0.00
ACHABN		1		0.00
ACHABV		2		0.00
ACHABZ		1		0.00
ACHAC		55		0.01
ACHACA		1		0.00
ACHACH		23		0.00
ACHACL		28		0.00
ACHACO		3		0.00
ACHAD		245		0.02
ACHADA		43		0.00
ACHADAN		13		0.00
ACHADD		1		0.00
ACHADE		3		0.00
ACHADG		2		0.00
ACHADL		1		0.00
ACHADM		9		0.00
ACHADMANAH		1		0.00
ACHADN		114		0.01
ACHADO		39		0.00
ACHADP		1		0.00
ACHADR		7		0.00
ACHADS		1		0.00
ACHADV		11		0.00
ACHADY		1		0.00
ACHADZ		1		0.00
ACHAF		6		0.00
ACHAFN		1		0.00
ACHAFO		1		0.00
ACHAFR		2		0.00
ACHAFZ		1		0.00
ACHAG		3		0.00
ACHAGA		1		0.00
ACHAGE		1		0.00
ACHAGL		1		0.00
ACHAH		5		0.00
ACHAHC		1		0.00
ACHAHO		1		0.00
ACHAHP		2		0.00
ACHAHV		1		0.00
ACHAL		140		0.01
ACHALA		18		0.00
ACHALB		1		0.00
ACHALC		6		0.00
ACHALD		19		0.00
ACHALDAXMA		1		0.00
ACHALE		2		0.00
ACHALG		14		0.00
ACHALH		2		0.00
ACHALL		4		0.00
ACHALM		1		0.00
ACHALN		4		0.00
ACHALO		12		0.00
ACHALP		10		0.00
ACHALS		2		0.00
ACHALV		6		0.00
ACHALY		2		0.00
ACHALZ		29		0.00
ACHAM		21		0.00
ACHAMA		5		0.00
ACHAMB		1		0.00
ACHAME		2		0.00
ACHAMF		2		0.00
ACHAMN		3		0.00
ACHAMP		2		0.00
ACHAMV		5		0.00
ACHAN		247		0.02
ACHANA		22		0.00
ACHANC		4		0.00
ACHAND		30		0.00
ACHANDAS		2		0.00
ACHANF		1		0.00
ACHANG		6		0.00
ACHANH		1		0.00
ACHANI		1		0.00
ACHANL		5		0.00
ACHANN		6		0.00
ACHANO		17		0.00
ACHANP		3		0.00
ACHANS		29		0.00
ACHANT		20		0.00
ACHANV		13		0.00
ACHANY		2		0.00
ACHANZ		78		0.01
ACHAO		10		0.00
ACHAOC		1		0.00
ACHAOL		5		0.00
ACHAOR		3		0.00
ACHAOX		1		0.00
ACHAP		114		0.01
ACHAPA		17		0.00
ACHAPC		1		0.00
ACHAPE		1		0.00
ACHAPH		41		0.00
ACHAPL		4		0.00
ACHAPM		1		0.00
ACHAPN		29		0.00
ACHAPO		1		0.00
ACHAPR		3		0.00
ACHAPS		1		0.00
ACHAPT		1		0.00
ACHAPV		9		0.00
ACHAPZ		1		0.00
ACHAR		140		0.01
ACHARA		12		0.00
ACHARB		1		0.00
ACHARC		3		0.00
ACHARD		25		0.00
ACHARG		1		0.00
ACHARH		1		0.00
ACHARL		3		0.00
ACHARM		9		0.00
ACHARMAH		3		0.00
ACHARN		37		0.00
ACHARO		6		0.00
ACHARP		4		0.00
ACHARR		2		0.00
ACHARS		11		0.00
ACHART		2		0.00
ACHARV		5		0.00
ACHARZ		11		0.00
ACHAS		50		0.00
ACHASA		1		0.00
ACHASC		1		0.00
ACHASE		1		0.00
ACHASM		2		0.00
ACHASN		2		0.00
ACHASO		2		0.00
ACHASP		1		0.00
ACHAST		35		0.00
ACHASV		2		0.00
ACHAT		28		0.00
ACHATA		5		0.00
ACHATE		1		0.00
ACHATH		17		0.00
ACHATN		1		0.00
ACHATO		2		0.00
ACHATZ		1		0.00
ACHAV		8		0.00
ACHAVA		1		0.00
ACHAVI		1		0.00
ACHAVN		1		0.00
ACHAVO		3		0.00
ACHAVT		1		0.00
ACHAX		32		0.00
ACHAXA		6		0.00
ACHAXC		1		0.00
ACHAXL		5		0.00
ACHAXN		2		0.00
ACHAXO		2		0.00
ACHAXP		4		0.00
ACHAXT		3		0.00
ACHAXV		6		0.00
ACHAZ		11		0.00
ACHAZA		5		0.00
ACHAZI		3		0.00
ACHAZO		2		0.00
ACHAZV		1		0.00
ACHB		1		0.00
ACHBR		1		0.00
ACHBRV		1		0.00
ACHC		23		0.00
ACHCA		1		0.00
ACHCAR		1		0.00
ACHCH		19		0.00
ACHCHA		4		0.00
ACHCHI		13		0.00
ACHCHV		2		0.00
ACHCO		2		0.00
ACHCOL		1		0.00
ACHCOR		1		0.00
ACHCR		1		0.00
ACHCRO		1		0.00
ACHD		5		0.00
ACHDA		1		0.00
ACHDAL		1		0.00
ACHDE		1		0.00
ACHDEO		1		0.00
ACHDO		3		0.00
ACHDOL		2		0.00
ACHDOX		1		0.00
ACHE		410		0.04
ACHEA		13		0.00
ACHEAC		1		0.00
ACHEAD		2		0.00
ACHEAL		4		0.00
ACHEAN		2		0.00
ACHEAP		2		0.00
ACHEAX		2		0.00
ACHEB		3		0.00
ACHEBA		1		0.00
ACHEBL		1		0.00
ACHEBV		1		0.00
ACHEC		1		0.00
ACHECH		1		0.00
ACHED		69		0.01
ACHEDA		7		0.00
ACHEDN		45		0.00
ACHEDO		11		0.00
ACHEDR		1		0.00
ACHEDV		2		0.00
ACHEDZ		1		0.00
ACHEF		46		0.00
ACHEFA		15		0.00
ACHEFF		4		0.00
ACHEFG		1		0.00
ACHEFL		2		0.00
ACHEFM		2		0.00
ACHEFN		17		0.00
ACHEFO		1		0.00
ACHEFZ		2		0.00
ACHEL		44		0.00
ACHELA		4		0.00
ACHELD		26		0.00
ACHELDAPH		1		0.00
ACHELG		1		0.00
ACHELN		1		0.00
ACHELO		3		0.00
ACHELP		2		0.00
ACHELS		1		0.00
ACHELY		1		0.00
ACHEM		14		0.00
ACHEMA		5		0.00
ACHEMN		3		0.00
ACHEMO		1		0.00
ACHEMS		1		0.00
ACHEMT		1		0.00
ACHEMV		3		0.00
ACHEN		40		0.00
ACHENA		7		0.00
ACHENB		1		0.00
ACHEND		3		0.00
ACHENG		1		0.00
ACHENN		3		0.00
ACHENO		5		0.00
ACHENS		3		0.00
ACHENV		4		0.00
ACHENZ		11		0.00
ACHEO		13		0.00
ACHEOC		1		0.00
ACHEOD		1		0.00
ACHEOL		6		0.00
ACHEON		2		0.00
ACHEOR		2		0.00
ACHEOX		1		0.00
ACHEP		105		0.01
ACHEPA		4		0.00
ACHEPASMACAPHA		1		0.00
ACHEPE		1		0.00
ACHEPH		84		0.01
ACHEPL		2		0.00
ACHEPM		1		0.00
ACHEPN		7		0.00
ACHEPS		1		0.00
ACHEPT		1		0.00
ACHEPV		1		0.00
ACHER		18		0.00
ACHERB		1		0.00
ACHERD		4		0.00
ACHERG		1		0.00
ACHERO		5		0.00
ACHERR		1		0.00
ACHERT		2		0.00
ACHERV		2		0.00
ACHES		17		0.00
ACHESA		3		0.00
ACHESD		4		0.00
ACHESM		1		0.00
ACHESP		2		0.00
ACHEST		3		0.00
ACHET		14		0.00
ACHETH		9		0.00
ACHETN		1		0.00
ACHEV		4		0.00
ACHEVA		3		0.00
ACHEVO		1		0.00
ACHEX		2		0.00
ACHEXA		1		0.00
ACHEXD		1		0.00
ACHEY		1		0.00
ACHEYB		1		0.00
ACHG		11		0.00
ACHGE		6		0.00
ACHGEB		1		0.00
ACHGED		1		0.00
ACHGEO		2		0.00
ACHGER		1		0.00
ACHGET		1		0.00
ACHGO		2		0.00
ACHGOR		2		0.00
ACHGV		3		0.00
ACHGVD		2		0.00
ACHGVL		1		0.00
ACHH		5		0.00
ACHHI		2		0.00
ACHHIB		1		0.00
ACHHIS		1		0.00
ACHHO		1		0.00
ACHHOX		1		0.00
ACHHV		2		0.00
ACHHVA		1		0.00
ACHHVN		1		0.00
ACHI		110		0.01
ACHIA		8		0.00
ACHIAB		1		0.00
ACHIAD		3		0.00
ACHIAN		3		0.00
ACHIAX		1		0.00
ACHIB		1		0.00
ACHIBA		1		0.00
ACHIC		2		0.00
ACHICH		1		0.00
ACHICN		1		0.00
ACHID		40		0.00
ACHIDA		14		0.00
ACHIDABRAOCHADAX		1		0.00
ACHIDN		15		0.00
ACHIDO		9		0.00
ACHIDR		1		0.00
ACHIL		7		0.00
ACHILD		7		0.00
ACHIM		3		0.00
ACHIMA		1		0.00
ACHIMO		1		0.00
ACHIN		20		0.00
ACHINA		3		0.00
ACHIND		1		0.00
ACHING		1		0.00
ACHINO		4		0.00
ACHINOX		2		0.00
ACHINS		1		0.00
ACHINT		4		0.00
ACHINV		1		0.00
ACHINZ		5		0.00
ACHIO		17		0.00
ACHIOD		1		0.00
ACHIOL		1		0.00
ACHION		12		0.00
ACHIOP		1		0.00
ACHIOPT		1		0.00
ACHIOX		2		0.00
ACHIP		1		0.00
ACHIPO		1		0.00
ACHIR		7		0.00
ACHIRA		1		0.00
ACHIRD		3		0.00
ACHIRN		1		0.00
ACHIRO		1		0.00
ACHIRS		1		0.00
ACHIS		1		0.00
ACHISA		1		0.00
ACHIT		2		0.00
ACHITA		2		0.00
ACHIX		1		0.00
ACHIXO		1		0.00
ACHL		69		0.01
ACHLA		22		0.00
ACHLAB		2		0.00
ACHLAC		2		0.00
ACHLAD		5		0.00
ACHLAG		2		0.00
ACHLAH		1		0.00
ACHLAN		3		0.00
ACHLAP		1		0.00
ACHLAR		2		0.00
ACHLAV		1		0.00
ACHLAX		3		0.00
ACHLE		13		0.00
ACHLEB		1		0.00
ACHLEC		1		0.00
ACHLED		2		0.00
ACHLEG		2		0.00
ACHLEO		1		0.00
ACHLEP		2		0.00
ACHLET		1		0.00
ACHLEX		3		0.00
ACHLI		1		0.00
ACHLIF		1		0.00
ACHLO		31		0.00
ACHLOC		9		0.00
ACHLOD		2		0.00
ACHLON		3		0.00
ACHLOP		1		0.00
ACHLOR		2		0.00
ACHLOT		2		0.00
ACHLOX		9		0.00
ACHLOZ		3		0.00
ACHLV		2		0.00
ACHLVG		1		0.00
ACHLVR		1		0.00
ACHM		3		0.00
ACHMA		2		0.00
ACHMAN		1		0.00
ACHMAR		1		0.00
ACHMO		1		0.00
ACHMON		1		0.00
ACHN		72		0.01
ACHNA		16		0.00
ACHNAC		2		0.00
ACHNAD		2		0.00
ACHNAH		1		0.00
ACHNAL		2		0.00
ACHNAP		1		0.00
ACHNAT		4		0.00
ACHNAX		2		0.00
ACHNE		17		0.00
ACHNEC		6		0.00
ACHNED		1		0.00
ACHNEL		1		0.00
ACHNEO		2		0.00
ACHNER		3		0.00
ACHNEV		1		0.00
ACHNEX		2		0.00
ACHNEY		1		0.00
ACHNO		39		0.00
ACHNOC		12		0.00
ACHNOD		2		0.00
ACHNOG		4		0.00
ACHNOL		14		0.00
ACHNOR		1		0.00
ACHNOT		3		0.00
ACHNOX		1		0.00
ACHNOZ		2		0.00
ACHO		383		0.04
ACHOA		55		0.01
ACHOAB		1		0.00
ACHOAC		4		0.00
ACHOAD		12		0.00
ACHOAG		1		0.00
ACHOAL		22		0.00
ACHOAM		1		0.00
ACHOAN		3		0.00
ACHOAP		1		0.00
ACHOAR		4		0.00
ACHOAS		1		0.00
ACHOAX		4		0.00
ACHOAZ		1		0.00
ACHOC		8		0.00
ACHOCA		1		0.00
ACHOCH		3		0.00
ACHOCL		2		0.00
ACHOCO		2		0.00
ACHOD		34		0.00
ACHODA		19		0.00
ACHODC		1		0.00
ACHODN		10		0.00
ACHODO		2		0.00
ACHODZ		1		0.00
ACHOH		9		0.00
ACHOHA		5		0.00
ACHOHC		1		0.00
ACHOHN		1		0.00
ACHOL		60		0.01
ACHOLA		13		0.00
ACHOLC		3		0.00
ACHOLD		17		0.00
ACHOLG		4		0.00
ACHOLH		3		0.00
ACHOLO		2		0.00
ACHOLP		1		0.00
ACHOLS		1		0.00
ACHOLV		5		0.00
ACHOLZ		11		0.00
ACHOM		1		0.00
ACHOMA		1		0.00
ACHON		96		0.01
ACHONA		21		0.00
ACHONB		2		0.00
ACHONC		3		0.00
ACHOND		11		0.00
ACHONG		2		0.00
ACHONM		1		0.00
ACHONN		3		0.00
ACHONO		3		0.00
ACHONP		2		0.00
ACHONS		4		0.00
ACHONT		4		0.00
ACHONV		2		0.00
ACHONZ		31		0.00
ACHOO		1		0.00
ACHOOR		1		0.00
ACHOP		4		0.00
ACHOPA		1		0.00
ACHOPE		1		0.00
ACHOPH		2		0.00
ACHOR		64		0.01
ACHORA		9		0.00
ACHORB		2		0.00
ACHORC		2		0.00
ACHORD		15		0.00
ACHORG		4		0.00
ACHORN		8		0.00
ACHORO		2		0.00
ACHORP		5		0.00
ACHORS		1		0.00
ACHORV		4		0.00
ACHORY		3		0.00
ACHORZ		8		0.00
ACHOS		3		0.00
ACHOSA		1		0.00
ACHOSL		1		0.00
ACHOT		6		0.00
ACHOTH		6		0.00
ACHOV		5		0.00
ACHOVI		1		0.00
ACHOVN		1		0.00
ACHOVO		3		0.00
ACHOX		11		0.00
ACHOXA		8		0.00
ACHOXL		1		0.00
ACHOXO		1		0.00
ACHOXY		1		0.00
ACHOY		1		0.00
ACHOYN		1		0.00
ACHOZ		3		0.00
ACHOZA		3		0.00
ACHP		1		0.00
ACHPR		1		0.00
ACHPRO		1		0.00
ACHR		8		0.00
ACHRA		5		0.00
ACHRAL		1		0.00
ACHRAN		2		0.00
ACHRAP		1		0.00
ACHRAPAMALES		1		0.00
ACHRAX		1		0.00
ACHRI		1		0.00
ACHRIS		1		0.00
ACHRO		1		0.00
ACHROA		1		0.00
ACHS		3		0.00
ACHSE		1		0.00
ACHSED		1		0.00
ACHSN		1		0.00
ACHSNA		1		0.00
ACHSV		1		0.00
ACHSVR		1		0.00
ACHV		88		0.01
ACHVA		9		0.00
ACHVAD		3		0.00
ACHVAL		3		0.00
ACHVAP		1		0.00
ACHVAX		2		0.00
ACHVB		4		0.00
ACHVBA		3		0.00
ACHVBR		1		0.00
ACHVC		1		0.00
ACHVCH		1		0.00
ACHVD		20		0.00
ACHVDA		7		0.00
ACHVDN		3		0.00
ACHVDR		10		0.00
ACHVI		1		0.00
ACHVID		1		0.00
ACHVL		11		0.00
ACHVLA		3		0.00
ACHVLD		2		0.00
ACHVLN		1		0.00
ACHVLO		1		0.00
ACHVLZ		4		0.00
ACHVM		5		0.00
ACHVMA		3		0.00
ACHVME		2		0.00
ACHVN		7		0.00
ACHVND		4		0.00
ACHVNR		1		0.00
ACHVNZ		1		0.00
ACHVO		7		0.00
ACHVOL		3		0.00
ACHVON		2		0.00
ACHVOR		1		0.00
ACHVOX		1		0.00
ACHVP		1		0.00
ACHVPR		1		0.00
ACHVR		15		0.00
ACHVRA		8		0.00
ACHVRAL		1		0.00
ACHVRC		1		0.00
ACHVRD		1		0.00
ACHVRE		1		0.00
ACHVRI		1		0.00
ACHVRN		2		0.00
ACHVRO		1		0.00
ACHVS		2		0.00
ACHVSA		1		0.00
ACHVSC		1		0.00
ACHVT		1		0.00
ACHVTH		1		0.00
ACHVV		1		0.00
ACHVVR		1		0.00
ACHVZ		1		0.00
ACHVZA		1		0.00
ACHX		1		0.00
ACHXO		1		0.00
ACHXOS		1		0.00
ACHY		63		0.01
ACHYA		3		0.00
ACHYAG		1		0.00
ACHYAL		2		0.00
ACHYB		1		0.00
ACHYBR		1		0.00
ACHYD		16		0.00
ACHYDA		3		0.00
ACHYDN		2		0.00
ACHYDO		8		0.00
ACHYDR		3		0.00
ACHYF		1		0.00
ACHYFA		1		0.00
ACHYL		6		0.00
ACHYLA		2		0.00
ACHYLC		1		0.00
ACHYLD		2		0.00
ACHYM		3		0.00
ACHYMA		1		0.00
ACHYMV		1		0.00
ACHYMY		1		0.00
ACHYN		15		0.00
ACHYNA		3		0.00
ACHYND		1		0.00
ACHYNG		1		0.00
ACHYNO		3		0.00
ACHYNS		2		0.00
ACHYNSADA		1		0.00
ACHYNT		3		0.00
ACHYNZ		2		0.00
ACHYO		7		0.00
ACHYOD		1		0.00
ACHYOL		1		0.00
ACHYON		1		0.00
ACHYOR		1		0.00
ACHYOX		2		0.00
ACHYP		5		0.00
ACHYPA		2		0.00
ACHYPL		1		0.00
ACHYPN		1		0.00
ACHYPR		1		0.00
ACHYR		1		0.00
ACHYRD		1		0.00
ACHYT		3		0.00
ACHYTA		2		0.00
ACHYTR		1		0.00
ACHYZ		1		0.00
ACHYZO		1		0.00
ACHZ		10		0.00
ACHZA		1		0.00
ACHZAD		1		0.00
ACHZE		2		0.00
ACHZED		1		0.00
ACHZEN		1		0.00
ACHZI		5		0.00
ACHZIB		1		0.00
ACHZIC		2		0.00
ACHZIN		1		0.00
ACHZIR		1		0.00
ACHZV		2		0.00
ACHZVR		2		0.00
ACL		609		0.06
ACLA		417		0.04
ACLAA		1		0.00
ACLAAN		1		0.00
ACLAD		73		0.01
ACLADA		21		0.00
ACLADC		1		0.00
ACLADG		1		0.00
ACLADM		2		0.00
ACLADN		22		0.00
ACLADO		17		0.00
ACLADV		7		0.00
ACLADY		1		0.00
ACLADZ		1		0.00
ACLAH		12		0.00
ACLAHA		1		0.00
ACLAHD		1		0.00
ACLAHG		1		0.00
ACLAHN		1		0.00
ACLAHO		2		0.00
ACLAHV		3		0.00
ACLAHZ		2		0.00
ACLAL		1		0.00
ACLALO		1		0.00
ACLAM		1		0.00
ACLAMV		1		0.00
ACLAN		90		0.01
ACLANA		2		0.00
ACLANC		3		0.00
ACLAND		6		0.00
ACLANG		7		0.00
ACLANN		4		0.00
ACLANO		3		0.00
ACLANP		1		0.00
ACLANS		20		0.00
ACLANT		20		0.00
ACLANV		4		0.00
ACLANY		1		0.00
ACLANZ		19		0.00
ACLAO		2		0.00
ACLAOX		1		0.00
ACLAP		2		0.00
ACLAPA		1		0.00
ACLAPQ		1		0.00
ACLAR		2		0.00
ACLARG		1		0.00
ACLART		1		0.00
ACLAS		6		0.00
ACLASA		1		0.00
ACLASC		1		0.00
ACLASE		1		0.00
ACLASN		1		0.00
ACLASO		1		0.00
ACLASV		1		0.00
ACLAT		2		0.00
ACLATA		1		0.00
ACLATO		1		0.00
ACLAX		201		0.02
ACLAXA		37		0.00
ACLAXC		1		0.00
ACLAXD		3		0.00
ACLAXG		1		0.00
ACLAXI		2		0.00
ACLAXM		1		0.00
ACLAXN		8		0.00
ACLAXO		11		0.00
ACLAXP		7		0.00
ACLAXR		1		0.00
ACLAXT		90		0.01
ACLAXV		10		0.00
ACLAXY		10		0.00
ACLAXZ		6		0.00
ACLAZ		10		0.00
ACLAZA		9		0.00
ACLAZE		1		0.00
ACLE		4		0.00
ACLEB		1		0.00
ACLEBO		1		0.00
ACLEF		1		0.00
ACLEFV		1		0.00
ACLEP		1		0.00
ACLEPH		1		0.00
ACLES		1		0.00
ACLESA		1		0.00
ACLI		38		0.00
ACLIA		1		0.00
ACLIAO		1		0.00
ACLID		7		0.00
ACLIDA		1		0.00
ACLIDN		4		0.00
ACLIDO		2		0.00
ACLIN		19		0.00
ACLINA		2		0.00
ACLINO		8		0.00
ACLINS		1		0.00
ACLINT		2		0.00
ACLINV		1		0.00
ACLINZ		5		0.00
ACLIO		10		0.00
ACLIOD		2		0.00
ACLION		4		0.00
ACLIOX		3		0.00
ACLIZ		1		0.00
ACLIZA		1		0.00
ACLO		125		0.01
ACLOA		1		0.00
ACLOAD		1		0.00
ACLOB		1		0.00
ACLOBA		1		0.00
ACLOC		3		0.00
ACLOCA		1		0.00
ACLOCH		1		0.00
ACLOCL		1		0.00
ACLOD		7		0.00
ACLODN		3		0.00
ACLODO		3		0.00
ACLODZ		1		0.00
ACLOG		1		0.00
ACLOGA		1		0.00
ACLOH		9		0.00
ACLOHA		2		0.00
ACLOHG		1		0.00
ACLOHN		1		0.00
ACLOHR		1		0.00
ACLOHV		2		0.00
ACLOHZ		2		0.00
ACLOM		1		0.00
ACLON		27		0.00
ACLONA		3		0.00
ACLONC		1		0.00
ACLONG		2		0.00
ACLONO		2		0.00
ACLONS		1		0.00
ACLONT		4		0.00
ACLONV		1		0.00
ACLONY		1		0.00
ACLONZ		12		0.00
ACLOP		1		0.00
ACLOPT		1		0.00
ACLOR		1		0.00
ACLORP		1		0.00
ACLOS		2		0.00
ACLOSA		2		0.00
ACLOT		9		0.00
ACLOTA		3		0.00
ACLOTH		6		0.00
ACLOX		59		0.01
ACLOXA		31		0.00
ACLOXC		1		0.00
ACLOXD		1		0.00
ACLOXN		3		0.00
ACLOXO		4		0.00
ACLOXP		1		0.00
ACLOXT		10		0.00
ACLOXY		3		0.00
ACLOXZ		4		0.00
ACLOZ		1		0.00
ACLOZA		1		0.00
ACLV		3		0.00
ACLVM		1		0.00
ACLVX		1		0.00
ACLVXT		1		0.00
ACLVZ		1		0.00
ACLVZA		1		0.00
ACLY		15		0.00
ACLYB		1		0.00
ACLYBA		1		0.00
ACLYD		8		0.00
ACLYDA		5		0.00
ACLYDN		2		0.00
ACLYDO		1		0.00
ACLYN		3		0.00
ACLYNA		1		0.00
ACLYNO		2		0.00
ACLYO		2		0.00
ACLYOH		1		0.00
ACLYON		1		0.00
ACLYP		1		0.00
ACLYPA		1		0.00
ACM		1		0.00
ACMA		1		0.00
ACMAR		1		0.00
ACMARO		1		0.00
ACN		2		0.00
ACNN		1		0.00
ACNNA		1		0.00
ACNNAG		1		0.00
ACNO		1		0.00
ACNOC		1		0.00
ACNOCH		1		0.00
ACO		272		0.03
ACOA		6		0.00
ACOAH		1		0.00
ACOAL		1		0.00
ACOALC		1		0.00
ACOAN		1		0.00
ACOANA		1		0.00
ACOAX		1		0.00
ACOAXL		1		0.00
ACOAZ		1		0.00
ACOAZA		1		0.00
ACOB		1		0.00
ACOBL		1		0.00
ACOBLA		1		0.00
ACOC		2		0.00
ACOCO		1		0.00
ACOCOM		1		0.00
ACOD		11		0.00
ACODA		6		0.00
ACODAA		1		0.00
ACODAD		1		0.00
ACODAN		4		0.00
ACODD		1		0.00
ACODDA		1		0.00
ACODE		1		0.00
ACODN		1		0.00
ACODNA		1		0.00
ACODT		1		0.00
ACODTA		1		0.00
ACODV		1		0.00
ACODVO		1		0.00
ACOG		1		0.00
